month,site,site_category,visitor_type,visitor_origin,visitors
2023-09,Bahrain National Museum,Museums,Educational,Government School,20
2023-09,Bahrain National Museum,Museums,Educational,Institutes,19
2023-09,Bahrain National Museum,Museums,Educational,Private School,50
2023-09,Bahrain National Museum,Museums,Groups,Organized Group,177
2023-09,Bahrain National Museum,Museums,Groups,Tour Agencies,68
2023-09,Bahrain National Museum,Museums,Groups,VIP,2
2023-09,Bahrain National Museum,Museums,Individual,Arab,1569
2023-09,Bahrain National Museum,Museums,Individual,Bahraini,1000
2023-09,Bahrain National Museum,Museums,Individual,Foreign,2942
2023-09,Bahrain National Museum,Museums,Individual,GCC,1309
2023-09,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Bahraini,18
2023-09,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Foreign,9
2023-09,Bani Jamra Textile Weaving,Handicraft Sites,Individual,GCC,1
2023-09,Barbar Temples,Archaeological Sites,Educational,College or University,2
2023-09,Barbar Temples,Archaeological Sites,Educational,Government School,2
2023-09,Barbar Temples,Archaeological Sites,Individual,Bahraini,5
2023-09,Barbar Temples,Archaeological Sites,Individual,Foreign,18
2023-09,Bu Maher,Archaeological Sites,Groups,Tour Agencies,178
2023-09,Bu Maher,Archaeological Sites,Groups,VIP,11
2023-09,Bu Maher,Archaeological Sites,Individual,Arab,28
2023-09,Bu Maher,Archaeological Sites,Individual,Bahraini,63
2023-09,Bu Maher,Archaeological Sites,Individual,Foreign,907
2023-09,Bu Maher,Archaeological Sites,Individual,GCC,117
2023-09,Bu Maher,Forts,Groups,Tour Agencies,178
2023-09,Bu Maher,Forts,Groups,VIP,11
2023-09,Bu Maher,Forts,Individual,Arab,28
2023-09,Bu Maher,Forts,Individual,Bahraini,63
2023-09,Bu Maher,Forts,Individual,Foreign,907
2023-09,Bu Maher,Forts,Individual,GCC,117
2023-09,Bu Maher,Pearling Path Sites,Groups,Tour Agencies,178
2023-09,Bu Maher,Pearling Path Sites,Groups,VIP,11
2023-09,Bu Maher,Pearling Path Sites,Individual,Arab,28
2023-09,Bu Maher,Pearling Path Sites,Individual,Bahraini,63
2023-09,Bu Maher,Pearling Path Sites,Individual,Foreign,907
2023-09,Bu Maher,Pearling Path Sites,Individual,GCC,117
2023-09,Cultural Hall,Uncategorised,Groups,Organized Group,130
2023-09,Cultural Hall,Uncategorised,Individual,Bahraini,53
2023-09,Dar Al Muharraq,Pearling Path Sites,Individual,Foreign,6
2023-09,House of Baskets,Handicraft Sites,Groups,Organized Group,4
2023-09,House of Baskets,Handicraft Sites,Individual,Arab,4
2023-09,House of Baskets,Handicraft Sites,Individual,Bahraini,39
2023-09,House of Baskets,Handicraft Sites,Individual,Foreign,19
2023-09,House of Baskets,Handicraft Sites,Individual,GCC,4
2023-09,Pearling Path Visitor Center,Pearling Path Sites,Groups,Organized Group,22
2023-09,Pearling Path Visitor Center,Pearling Path Sites,Groups,Tour Agencies,171
2023-09,Pearling Path Visitor Center,Pearling Path Sites,Groups,VIP,7
2023-09,Pearling Path Visitor Center,Pearling Path Sites,Individual,Bahraini,115
2023-09,Pearling Path Visitor Center,Pearling Path Sites,Individual,Foreign,158
2023-09,Qalat Al Bahrain Site Museum,Museums,Groups,VIP,36
2023-09,Qalat Al Bahrain Site Museum,Museums,Individual,Arab,14
2023-09,Qalat Al Bahrain Site Museum,Museums,Individual,Bahraini,60
2023-09,Qalat Al Bahrain Site Museum,Museums,Individual,Foreign,265
2023-09,Qalat Al Bahrain Site Museum,Museums,Individual,GCC,39
2023-09,Saar Settlement,Archaeological Sites,Individual,Bahraini,14
2023-09,Saar Settlement,Archaeological Sites,Individual,Foreign,24
2023-09,Sheikh Salman Bin Ahmed Al Fateh Fort,Forts,Individual,Arab,19
2023-09,Sheikh Salman Bin Ahmed Al Fateh Fort,Forts,Individual,Bahraini,41
2023-09,Sheikh Salman Bin Ahmed Al Fateh Fort,Forts,Individual,Foreign,123
2023-09,Tree of Life Visitors Centre,Uncategorised,Individual,Bahraini,211
2023-09,Tree of Life Visitors Centre,Uncategorised,Individual,Foreign,6372
2023-10,Aali burial mounds,Archaeological Sites,Groups,Organized Group,34
2023-10,Aali burial mounds,Archaeological Sites,Groups,Tour Agencies,3
2023-10,Aali burial mounds,Archaeological Sites,Individual,Arab,8
2023-10,Aali burial mounds,Archaeological Sites,Individual,Bahraini,2
2023-10,Aali burial mounds,Archaeological Sites,Individual,Foreign,29
2023-10,Aali burial mounds,Archaeological Sites,Individual,GCC,2
2023-10,Al Jasra House,Uncategorised,Groups,Organized Group,22
2023-10,Al Jasra House,Uncategorised,Individual,Arab,7
2023-10,Al Jasra House,Uncategorised,Individual,Bahraini,51
2023-10,Al Jasra House,Uncategorised,Individual,Foreign,164
2023-10,Al Khalefeyah Library,Uncategorised,Individual,Arab,99
2023-10,Al Khalefeyah Library,Uncategorised,Individual,Bahraini,53
2023-10,Al Khalefeyah Library,Uncategorised,Individual,Foreign,117
2023-10,Al Khalefeyah Library,Uncategorised,Individual,GCC,4
2023-10,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Groups,Organized Group,55
2023-10,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Arab,29
2023-10,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Bahraini,32
2023-10,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Foreign,40
2023-10,Arad Fort,Archaeological Sites,Individual,Arab,3
2023-10,Arad Fort,Archaeological Sites,Individual,Bahraini,30
2023-10,Arad Fort,Archaeological Sites,Individual,Foreign,85
2023-10,Arad Fort,Forts,Individual,Arab,3
2023-10,Arad Fort,Forts,Individual,Bahraini,30
2023-10,Arad Fort,Forts,Individual,Foreign,85
2023-10,Archaeologies of Green Pavilion,Uncategorised,Educational,College or University,10
2023-10,Archaeologies of Green Pavilion,Uncategorised,Educational,Government School,1
2023-10,Archaeologies of Green Pavilion,Uncategorised,Educational,Kinder Garden,6
2023-10,Archaeologies of Green Pavilion,Uncategorised,Educational,Private School,6
2023-10,Archaeologies of Green Pavilion,Uncategorised,Groups,VIP,82
2023-10,Archaeologies of Green Pavilion,Uncategorised,Individual,Arab,7
2023-10,Archaeologies of Green Pavilion,Uncategorised,Individual,Bahraini,62
2023-10,Archaeologies of Green Pavilion,Uncategorised,Individual,GCC,127
2023-10,Art Center,Uncategorised,Individual,Bahraini,178
2023-10,Art Center,Uncategorised,Individual,Foreign,5
2023-10,Bahrain Fort Site,Archaeological Sites,Educational,Private School,128
2023-10,Bahrain Fort Site,Archaeological Sites,Groups,Organized Group,442
2023-10,Bahrain Fort Site,Archaeological Sites,Groups,Tour Agencies,2129
2023-10,Bahrain Fort Site,Archaeological Sites,Groups,VIP,17
2023-10,Bahrain Fort Site,Archaeological Sites,Individual,Arab,1421
2023-10,Bahrain Fort Site,Archaeological Sites,Individual,Bahraini,5948
2023-10,Bahrain Fort Site,Archaeological Sites,Individual,Foreign,11092
2023-10,Bahrain Fort Site,Archaeological Sites,Individual,GCC,1494
2023-10,Bahrain Fort Site,Forts,Educational,Private School,128
2023-10,Bahrain Fort Site,Forts,Groups,Organized Group,442
2023-10,Bahrain Fort Site,Forts,Groups,Tour Agencies,2129
2023-10,Bahrain Fort Site,Forts,Groups,VIP,17
2023-10,Bahrain Fort Site,Forts,Individual,Arab,1421
2023-10,Bahrain Fort Site,Forts,Individual,Bahraini,5948
2023-10,Bahrain Fort Site,Forts,Individual,Foreign,11092
2023-10,Bahrain Fort Site,Forts,Individual,GCC,1494
2023-10,Bahrain National Museum,Museums,Educational,College or University,22
2023-10,Bahrain National Museum,Museums,Educational,Government School,169
2023-10,Bahrain National Museum,Museums,Educational,Kinder Garden,52
2023-10,Bahrain National Museum,Museums,Educational,Private School,887
2023-10,Bahrain National Museum,Museums,Groups,Organized Group,111
2023-10,Bahrain National Museum,Museums,Groups,Tour Agencies,22
2023-10,Bahrain National Museum,Museums,Groups,VIP,16
2023-10,Bahrain National Museum,Museums,Individual,Arab,216
2023-10,Bahrain National Museum,Museums,Individual,Bahraini,1180
2023-10,Bahrain National Museum,Museums,Individual,Foreign,4992
2023-10,Bahrain National Museum,Museums,Individual,GCC,1053
2023-10,Bani Jamra Textile Weaving,Handicraft Sites,Educational,College or University,26
2023-10,Bani Jamra Textile Weaving,Handicraft Sites,Groups,Organized Group,14
2023-10,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Bahraini,45
2023-10,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Foreign,57
2023-10,Bani Jamra Textile Weaving,Handicraft Sites,Individual,GCC,6
2023-10,Bu Maher,Archaeological Sites,Educational,College or University,23
2023-10,Bu Maher,Archaeological Sites,Educational,Private School,66
2023-10,Bu Maher,Archaeological Sites,Groups,Tour Agencies,318
2023-10,Bu Maher,Archaeological Sites,Groups,VIP,9
2023-10,Bu Maher,Archaeological Sites,Individual,Arab,18
2023-10,Bu Maher,Archaeological Sites,Individual,Bahraini,80
2023-10,Bu Maher,Archaeological Sites,Individual,Foreign,698
2023-10,Bu Maher,Archaeological Sites,Individual,GCC,98
2023-10,Bu Maher,Forts,Educational,College or University,23
2023-10,Bu Maher,Forts,Educational,Private School,66
2023-10,Bu Maher,Forts,Groups,Tour Agencies,318
2023-10,Bu Maher,Forts,Groups,VIP,9
2023-10,Bu Maher,Forts,Individual,Arab,18
2023-10,Bu Maher,Forts,Individual,Bahraini,80
2023-10,Bu Maher,Forts,Individual,Foreign,698
2023-10,Bu Maher,Forts,Individual,GCC,98
2023-10,Bu Maher,Pearling Path Sites,Educational,College or University,23
2023-10,Bu Maher,Pearling Path Sites,Educational,Private School,66
2023-10,Bu Maher,Pearling Path Sites,Groups,Tour Agencies,318
2023-10,Bu Maher,Pearling Path Sites,Groups,VIP,9
2023-10,Bu Maher,Pearling Path Sites,Individual,Arab,18
2023-10,Bu Maher,Pearling Path Sites,Individual,Bahraini,80
2023-10,Bu Maher,Pearling Path Sites,Individual,Foreign,698
2023-10,Bu Maher,Pearling Path Sites,Individual,GCC,98
2023-10,Cultural Hall,Uncategorised,Educational,Private School,616
2023-10,Cultural Hall,Uncategorised,Groups,Organized Group,428
2023-10,Cultural Hall,Uncategorised,Groups,VIP,12
2023-10,Cultural Hall,Uncategorised,Individual,Arab,163
2023-10,Cultural Hall,Uncategorised,Individual,Bahraini,57
2023-10,Cultural Hall,Uncategorised,Individual,Foreign,16
2023-10,Cultural Hall,Uncategorised,Individual,GCC,4
2023-10,Dar Al Muharraq,Pearling Path Sites,Groups,Organized Group,26
2023-10,Dar Al Muharraq,Pearling Path Sites,Groups,Tour Agencies,1
2023-10,Dar Al Muharraq,Pearling Path Sites,Individual,Arab,1
2023-10,Dar Al Muharraq,Pearling Path Sites,Individual,Foreign,6
2023-10,House of Baskets,Handicraft Sites,Groups,Organized Group,19
2023-10,House of Baskets,Handicraft Sites,Individual,Arab,2
2023-10,House of Baskets,Handicraft Sites,Individual,Bahraini,56
2023-10,House of Baskets,Handicraft Sites,Individual,Foreign,22
2023-10,House of Baskets,Handicraft Sites,Individual,GCC,2
2023-10,Pearling Path Visitor Center,Pearling Path Sites,Educational,Government School,24
2023-10,Pearling Path Visitor Center,Pearling Path Sites,Groups,Organized Group,22
2023-10,Pearling Path Visitor Center,Pearling Path Sites,Groups,Tour Agencies,478
2023-10,Pearling Path Visitor Center,Pearling Path Sites,Groups,VIP,30
2023-10,Pearling Path Visitor Center,Pearling Path Sites,Individual,Arab,7
2023-10,Pearling Path Visitor Center,Pearling Path Sites,Individual,Bahraini,163
2023-10,Pearling Path Visitor Center,Pearling Path Sites,Individual,Foreign,313
2023-10,Pearling Path Visitor Center,Pearling Path Sites,Individual,GCC,2
2023-10,Qalat Al Bahrain Site Museum,Museums,Educational,Government School,93
2023-10,Qalat Al Bahrain Site Museum,Museums,Individual,Arab,3
2023-10,Qalat Al Bahrain Site Museum,Museums,Individual,Bahraini,41
2023-10,Qalat Al Bahrain Site Museum,Museums,Individual,Foreign,374
2023-10,Qalat Al Bahrain Site Museum,Museums,Individual,GCC,36
2023-10,Saar Settlement,Archaeological Sites,Groups,Organized Group,14
2023-10,Saar Settlement,Archaeological Sites,Individual,Arab,3
2023-10,Saar Settlement,Archaeological Sites,Individual,Bahraini,7
2023-10,Saar Settlement,Archaeological Sites,Individual,Foreign,38
2023-10,Tree of Life Visitors Centre,Uncategorised,Individual,Bahraini,580
2023-10,Tree of Life Visitors Centre,Uncategorised,Individual,Foreign,15638
2023-11,Aali burial mounds,Archaeological Sites,Groups,Organized Group,7
2023-11,Aali burial mounds,Archaeological Sites,Groups,Tour Agencies,40
2023-11,Aali burial mounds,Archaeological Sites,Individual,Arab,1
2023-11,Aali burial mounds,Archaeological Sites,Individual,Foreign,8
2023-11,Al Jasra House,Uncategorised,Educational,College or University,20
2023-11,Al Jasra House,Uncategorised,Educational,Government School,40
2023-11,Al Jasra House,Uncategorised,Educational,Private School,70
2023-11,Al Jasra House,Uncategorised,Groups,Organized Group,44
2023-11,Al Jasra House,Uncategorised,Individual,Bahraini,84
2023-11,Al Jasra House,Uncategorised,Individual,Foreign,208
2023-11,Al Khalefeyah Library,Uncategorised,Individual,Arab,78
2023-11,Al Khalefeyah Library,Uncategorised,Individual,Bahraini,108
2023-11,Al Khalefeyah Library,Uncategorised,Individual,Foreign,208
2023-11,Al Khalefeyah Library,Uncategorised,Individual,GCC,6
2023-11,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Bahraini,49
2023-11,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Foreign,49
2023-11,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,GCC,7
2023-11,Arad Fort,Archaeological Sites,Individual,Arab,47
2023-11,Arad Fort,Archaeological Sites,Individual,Bahraini,141
2023-11,Arad Fort,Archaeological Sites,Individual,Foreign,418
2023-11,Arad Fort,Archaeological Sites,Individual,GCC,22
2023-11,Arad Fort,Forts,Individual,Arab,47
2023-11,Arad Fort,Forts,Individual,Bahraini,141
2023-11,Arad Fort,Forts,Individual,Foreign,418
2023-11,Arad Fort,Forts,Individual,GCC,22
2023-11,Art Center,Uncategorised,Individual,Bahraini,33
2023-11,Bahrain Fort Site,Archaeological Sites,Educational,College or University,4
2023-11,Bahrain Fort Site,Archaeological Sites,Educational,Government School,296
2023-11,Bahrain Fort Site,Archaeological Sites,Educational,Kinder Garden,87
2023-11,Bahrain Fort Site,Archaeological Sites,Educational,Private School,399
2023-11,Bahrain Fort Site,Archaeological Sites,Groups,Organized Group,89
2023-11,Bahrain Fort Site,Archaeological Sites,Groups,Tour Agencies,4164
2023-11,Bahrain Fort Site,Archaeological Sites,Groups,VIP,224
2023-11,Bahrain Fort Site,Archaeological Sites,Individual,Arab,1887
2023-11,Bahrain Fort Site,Archaeological Sites,Individual,Bahraini,5200
2023-11,Bahrain Fort Site,Archaeological Sites,Individual,Foreign,11216
2023-11,Bahrain Fort Site,Archaeological Sites,Individual,GCC,2679
2023-11,Bahrain Fort Site,Forts,Educational,College or University,4
2023-11,Bahrain Fort Site,Forts,Educational,Government School,296
2023-11,Bahrain Fort Site,Forts,Educational,Kinder Garden,87
2023-11,Bahrain Fort Site,Forts,Educational,Private School,399
2023-11,Bahrain Fort Site,Forts,Groups,Organized Group,89
2023-11,Bahrain Fort Site,Forts,Groups,Tour Agencies,4164
2023-11,Bahrain Fort Site,Forts,Groups,VIP,224
2023-11,Bahrain Fort Site,Forts,Individual,Arab,1887
2023-11,Bahrain Fort Site,Forts,Individual,Bahraini,5200
2023-11,Bahrain Fort Site,Forts,Individual,Foreign,11216
2023-11,Bahrain Fort Site,Forts,Individual,GCC,2679
2023-11,Bahrain National Museum,Museums,Educational,Government School,190
2023-11,Bahrain National Museum,Museums,Educational,Kinder Garden,184
2023-11,Bahrain National Museum,Museums,Educational,Private School,1567
2023-11,Bahrain National Museum,Museums,Groups,Organized Group,164
2023-11,Bahrain National Museum,Museums,Groups,VIP,156
2023-11,Bahrain National Museum,Museums,Individual,Arab,616
2023-11,Bahrain National Museum,Museums,Individual,Bahraini,1264
2023-11,Bahrain National Museum,Museums,Individual,Foreign,5867
2023-11,Bahrain National Museum,Museums,Individual,GCC,2181
2023-11,Bani Jamra Textile Weaving,Handicraft Sites,Educational,Government School,15
2023-11,Bani Jamra Textile Weaving,Handicraft Sites,Groups,Organized Group,6
2023-11,Bani Jamra Textile Weaving,Handicraft Sites,Groups,VIP,9
2023-11,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Bahraini,64
2023-11,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Foreign,33
2023-11,Bani Jamra Textile Weaving,Handicraft Sites,Individual,GCC,4
2023-11,Bu Maher,Archaeological Sites,Educational,Private School,32
2023-11,Bu Maher,Archaeological Sites,Groups,Organized Group,24
2023-11,Bu Maher,Archaeological Sites,Groups,Tour Agencies,477
2023-11,Bu Maher,Archaeological Sites,Groups,VIP,6
2023-11,Bu Maher,Archaeological Sites,Individual,Arab,43
2023-11,Bu Maher,Archaeological Sites,Individual,Bahraini,286
2023-11,Bu Maher,Archaeological Sites,Individual,Foreign,1194
2023-11,Bu Maher,Archaeological Sites,Individual,GCC,227
2023-11,Bu Maher,Forts,Educational,Private School,32
2023-11,Bu Maher,Forts,Groups,Organized Group,24
2023-11,Bu Maher,Forts,Groups,Tour Agencies,477
2023-11,Bu Maher,Forts,Groups,VIP,6
2023-11,Bu Maher,Forts,Individual,Arab,43
2023-11,Bu Maher,Forts,Individual,Bahraini,286
2023-11,Bu Maher,Forts,Individual,Foreign,1194
2023-11,Bu Maher,Forts,Individual,GCC,227
